Partlist

Exported from Tommy.sch at 11/21/2013 11:01:43 AM

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part            Value                Device                          Package                Library              Sheet

ANALOG_0                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_1                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_2                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_3                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
C68             1uF                  CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C69             1uF                  CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
D1                                   LEDSML0603                      SML0603                led                  1
D2                                   LEDSML0603                      SML0603                led                  1
D3                                   LEDSML0603                      SML0603                led                  1
D4                                   LEDSML0603                      SML0603                led                  1
D5                                   LEDSML0603                      SML0603                led                  1
DMD_CONN        103169-5             PH_2X07PTH                      HEADER_02X07_PTH       PP_Connectors        1
DMD_PWR                              PH_1X02MOLEX_26-61-4020         MOLEX_KK_2             PP_Connectors        1
EM1                                  SPDT_RELAYG5LA                  G5LA_PCBRELAY_SPDT     PP_Electromechanical 1
FUSE            4245K                PTC_FUSE4245K                   4245K                  PP_Passives          1
INPUT_BANK_0    5-103669-8           PH_1X09PTH                      HEADER_01X09_PTH       PP_Connectors        1
INPUT_BANK_1    5-103669-8           PH_1X09PTH                      HEADER_01X09_PTH       PP_Connectors        1
INPUT_BANK_2    5-103669-8           PH_1X09PTH                      HEADER_01X09_PTH       PP_Connectors        1
INPUT_BANK_3    5-103669-8           PH_1X09PTH                      HEADER_01X09_PTH       PP_Connectors        1
INPUT_BANK_4    5-103669-8           PH_1X09PTH                      HEADER_01X09_PTH       PP_Connectors        1
INPUT_BANK_5    5-103669-8           PH_1X09PTH                      HEADER_01X09_PTH       PP_Connectors        1
INPUT_BANK_6    5-103669-8           PH_1X09PTH                      HEADER_01X09_PTH       PP_Connectors        1
INPUT_BANK_7    5-103669-8           PH_1X09PTH                      HEADER_01X09_PTH       PP_Connectors        1
J35             ROYS_VOLTAGE_CHOOSER ROYS_VOLTAGE_CHOOSER            ROYS_VOLTAGE_CHOOSER   PP_Connectors        1
J36             ROYS_VOLTAGE_CHOOSER ROYS_VOLTAGE_CHOOSER            ROYS_VOLTAGE_CHOOSER   PP_Connectors        1
LIGHT_BANK_0    103414-8             PH_1X10PTH                      HEADER_01X10_PTH       PP_Connectors        1
LIGHT_BANK_1    103414-8             PH_1X10PTH                      HEADER_01X10_PTH       PP_Connectors        1
LIGHT_BANK_2    103414-8             PH_1X10PTH                      HEADER_01X10_PTH       PP_Connectors        1
LIGHT_BANK_3    103414-8             PH_1X10PTH                      HEADER_01X10_PTH       PP_Connectors        1
LIGHT_BANK_4    103414-8             PH_1X10PTH                      HEADER_01X10_PTH       PP_Connectors        1
LIGHT_BANK_5    103414-8             PH_1X10PTH                      HEADER_01X10_PTH       PP_Connectors        1
LIGHT_BANK_6    103414-8             PH_1X10PTH                      HEADER_01X10_PTH       PP_Connectors        1
LIGHT_BANK_7    103414-8             PH_1X10PTH                      HEADER_01X10_PTH       PP_Connectors        1
